timestamp,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
2020-10-29,0.85700000,0.87100000,0.81000000,0.81600000,895748.30800000,1604015999999,747847.87494400,3280,360813.49200000,301912.20258400,0
2020-10-30,0.81700000,0.82800000,0.76800000,0.79800000,1370650.29400000,1604102399999,1089489.46869500,5135,525178.18700000,417274.93635700,0
2020-10-31,0.79800000,0.81500000,0.78600000,0.78700000,464418.71600000,1604188799999,372608.61656500,1871,156119.19600000,125531.33414300,0
2020-11-01,0.78700000,0.80500000,0.77600000,0.79200000,583214.91800000,1604275199999,459737.26219700,1976,193004.32500000,152198.28152000,0
2020-11-02,0.79200000,0.81000000,0.75900000,0.77700000,786259.35300000,1604361599999,615437.39249500,2909,293048.40800000,229629.34525800,0
2020-11-03,0.77600000,0.77600000,0.72600000,0.74200000,764336.01300000,1604447999999,570276.52957200,3327,285526.27900000,213091.81566000,0
2020-11-04,0.74100000,0.74300000,0.69400000,0.70700000,1105392.53600000,1604534399999,789158.88388000,3398,417573.21100000,297779.48873800,0
2020-11-05,0.70700000,0.76000000,0.68600000,0.76000000,2250521.85300000,1604620799999,1625165.95511000,7403,1256127.90800000,911481.10730500,0
2020-11-06,0.75900000,0.82300000,0.75600000,0.81400000,3415764.04800000,1604707199999,2715619.13341500,10646,1714080.66100000,1362746.90322000,0
2020-11-07,0.81400000,0.89000000,0.74000000,0.77700000,3742223.53900000,1604793599999,3077010.97399900,13283,1893407.57500000,1560455.18273200,0
2020-11-08,0.77700000,0.84100000,0.76900000,0.82000000,1261899.73600000,1604879999999,1023811.79932800,5030,533203.99900000,431907.51069300,0
2020-11-09,0.82200000,0.85000000,0.78700000,0.81200000,1771157.05400000,1604966399999,1441074.20278100,9612,816857.09100000,666056.84991900,0
2020-11-10,0.81200000,0.88700000,0.80800000,0.87900000,3852502.15300000,1605052799999,3266847.11460700,24939,2173225.09900000,1842653.78293400,0
2020-11-11,0.87900000,0.97900000,0.87900000,0.88900000,5326039.05500000,1605139199999,4937163.06821400,23809,2560173.97700000,2375800.16087000,0
2020-11-12,0.89100000,0.92400000,0.84500000,0.86200000,2373445.76000000,1605225599999,2079989.60333700,15382,959803.88900000,839180.27686500,0
2020-11-13,0.86200000,0.94200000,0.85900000,0.92500000,1870848.55800000,1605311999999,1673034.50840500,11291,905574.31400000,810667.17603800,0
2020-11-14,0.92300000,0.92800000,0.86400000,0.89300000,1745974.40200000,1605398399999,1558745.27137400,8603,906065.91100000,809947.61611900,0
2020-11-15,0.89200000,0.95000000,0.86700000,0.89100000,1972120.60200000,1605484799999,1811133.33653700,11793,985538.63200000,906389.99712800,0
2020-11-16,0.88900000,0.95900000,0.88000000,0.94800000,2756398.99500000,1605571199999,2576272.89434700,13928,1397326.74700000,1307138.52414100,0
2020-11-17,0.94800000,0.98900000,0.92900000,0.98600000,2564623.40400000,1605657599999,2454113.49801400,17506,1287097.19200000,1233612.52320100,0
2020-11-18,0.98600000,0.99900000,0.86700000,0.92600000,3130177.08600000,1605743999999,2878197.43126500,15873,1500425.50100000,1380532.16418200,0
2020-11-19,0.92700000,0.95500000,0.89500000,0.91200000,1716510.65500000,1605830399999,1596225.06090100,10700,790194.96200000,736626.52660900,0
2020-11-20,0.91300000,0.96400000,0.90500000,0.94000000,2049514.71700000,1605916799999,1909622.75703000,12686,1068194.52400000,997869.22084100,0
2020-11-21,0.94000000,1.05800000,0.93700000,1.05800000,5024244.84100000,1606003199999,5000942.73598300,26504,2863247.97300000,2843460.50808200,0
2020-11-22,1.05700000,1.07500000,0.95100000,1.02100000,2546576.49500000,1606089599999,2575648.48070900,18998,1290842.45800000,1306434.37458000,0
2020-11-23,1.02400000,1.13200000,0.99000000,1.10900000,2775131.84900000,1606175999999,2978898.85775300,17048,1389764.67600000,1491785.59820200,0
2020-11-24,1.10900000,1.18700000,1.04700000,1.13000000,4289923.68200000,1606262399999,4792522.55389100,30809,2034597.22600000,2279609.26397400,0
2020-11-25,1.13200000,1.35200000,1.11000000,1.15700000,6333980.03800000,1606348799999,7741892.37645800,49514,3293554.17600000,4027825.04815000,0
2020-11-26,1.15600000,1.19900000,0.88500000,0.98100000,6125905.64900000,1606435199999,6130716.72822000,35110,2922789.16800000,2930107.50924700,0
2020-11-27,0.98200000,1.01200000,0.92400000,0.96300000,1792590.55500000,1606521599999,1733858.00007600,11746,932032.73800000,901201.50138700,0
2020-11-28,0.96300000,1.04500000,0.93500000,1.01300000,2033555.04800000,1606607999999,2019015.10177600,10206,1028604.28800000,1020763.68832000,0
2020-11-29,1.01500000,1.04100000,0.98500000,1.02200000,1849108.73400000,1606694399999,1882731.08488700,8983,902238.29100000,918584.01489200,0
2020-11-30,1.02000000,1.09400000,1.00900000,1.05800000,1926352.29900000,1606780799999,2012385.43688400,10967,887163.73500000,927853.20340400,0
2020-12-01,1.05800000,1.10600000,0.95100000,0.98700000,4332909.45800000,1606867199999,4488866.92194500,22611,2192397.93600000,2272103.51168300,0
2020-12-02,0.98700000,1.03400000,0.97300000,1.02700000,1818609.12900000,1606953599999,1834744.45122700,9704,815066.95300000,822035.84410100,0
2020-12-03,1.02500000,1.06700000,1.00300000,1.01200000,2474642.92100000,1607039999999,2546086.47729700,11334,1120310.30800000,1153182.24227800,0
2020-12-04,1.01100000,1.04400000,0.92600000,0.92700000,3204401.53400000,1607126399999,3200050.41346500,19870,1554860.54400000,1556045.53873400,0
2020-12-05,0.92800000,0.98200000,0.91800000,0.97300000,1863461.58000000,1607212799999,1775036.54481000,7556,982819.44000000,936683.43409000,0
2020-12-06,0.97300000,0.99100000,0.95300000,0.97700000,1042981.96100000,1607299199999,1013994.85549500,7016,480678.95000000,467528.66479000,0
2020-12-07,0.97600000,0.97700000,0.93700000,0.95400000,1318948.09900000,1607385599999,1260393.19140500,6321,631920.94200000,603690.39685800,0
2020-12-08,0.95500000,0.95500000,0.87300000,0.89300000,1971502.91200000,1607471999999,1814262.99753600,8580,682798.99300000,630840.24631700,0
2020-12-09,0.89200000,0.90600000,0.83600000,0.89400000,1490023.31100000,1607558399999,1310754.43085200,7892,680671.23500000,600049.96775800,0
2020-12-10,0.89500000,0.91700000,0.85200000,0.86400000,1049025.21300000,1607644799999,924332.16610100,6480,420462.72400000,371280.06296000,0
2020-12-11,0.86500000,0.88500000,0.83600000,0.86700000,1115098.60200000,1607731199999,958273.28422900,7276,371560.28400000,320016.44202400,0
